state,pwsid
CA,ca3310005
CA,ca3710015
CA,ca4510014
CA,ca4010014
CA,ca11006
CA,ca31-10001
CA,ca3610018
CA,NA
CA,ca3410001
CA,ca1910149
CA,ca3910005
CA,ca3610038
CA,ca1210001 & 1210021
CA,ca3410021
CA,ca2310003
CA,ca4010009
CA,ca3610041
CA,ca1910039 and 1910189
CA,ca5410003
CA,ca1910021
CA,ca1910161
CA,ca1910211
CA,ca#2410009
CA,ca4210006
CA,ca1910245
CA,ca3710005
CA,ca4910013
CA,ca1510021
CA,ca3610013
CA,ca3310012
CA,ca0510016
CA,ca0510006
CA,ca 54-10010
CA,ca4010002
CA,ca 3610037
CA,ca3410009
CA,ca3310032
CA,ca3710029
CA,caalta - 3110024
CA,caapplegate - 3110050
CA,ca3110005
CA,ca3110025
CA,ca4210007
CA,ca4210011
CA,cacolfax - 3110006
CA,ca3910011
CA,ca1510006
CA,ca1910225
CA,camonte vista - 3110124
CA,ca3610029
CA,ca4310012
CA,ca3310022
CA,ca54-10010
CA,ca4910017
CA,ca4310018
CA,ca 4310011
CA,ca4110022
CA,ca5010028
CA,ca1210013
CA,ca15100021
CA,ca1910052
CA,ca4410010
CA,ca1910186
CA,ca4210016
CA,ca5610059
CA,ca1910139
CA,ca3610049
CA,ca5110002
CA,ca1910004
CA,ca1910011
CA,ca3410015
CA,ca1910030
CA,ca1910077
CA,ca1910098
CA,ca0710002
CA,ca1210016
CA,ca410006
CA,ca3610012
CA,ca1910019
CA,ca3710014
CA,ca4310019
CA,ca4310020
CA,"ca1910161, 1910211, 1910021"
CA,ca3610001
CA,ca0110001
CA,ca2710001
CA,ca1910001pa-003
CA,ca1910001
CA,ca1910007
CA,ca0310002
CA,ca2810005
CA,ca3010001
CA,ca3410031
CA,ca071001
CA,ca1910003
CA,ca4010001
CA,ca1510001
CA,ca2410001
CA,ca0710004
CA,ca3410016
CA,ca1049
CA,ca3610003
CA,ca3710023
CA,ca1910130
CA,ca1910090
CA,ca5010019
CA,ca241004
CA,ca1910102
CA,ca4910014
CA,ca1910124
CA,ca0110011
CA,ca4310004
CA,ca4810008
CA,ca1910101
CA,ca1910079
CA,ca1910026
CA,ca5610009
CA,ca5610080
CA,ca1910157
CA,ca 1510020
CA,ca3810011
CA,ca1910173
CA,ca3610121
CA,ca3610125
CA,ca1910205
CA,ca1020
CA,ca3910015
CA,ca3010046
CA,ca4910012
CA,ca0110009
CA,ca31-10023
CA,ca1910013
CA,ca31-10036
CA,ca1910043
CA,ca1510029
CA,ca1510012
CA,ca3600395
CA,"ca3610044, ca3610061"
CA,ca3610044
CA,ca3610022
CA,ca3600283
CA,ca3901111
CA,ca5010017
CA,ca1910156
CA,ca0310012
CA,ca1910091
CA,ca4210004
CA,ca0310019
CA,ca0310021
CA,ca0310003
CA,ca1910174
CA,ca3610005
CA,ca4510006
CA,ca3710013
CA,ca1910127
CA,ca3610057
CA,ca1510031
CA,cayes
CA,ca3310006
CA,ca3610043
CA,ca3310002
CA,ca1510038
CA,ca4810001
CA,ca3610008
CA,ca3310003
CA,ca1310001
CA,ca30-10002
CA,ca3010003
CA,ca1910179
CA,ca4110003
CA,ca1010001
CA,ca2010009
CA,ca2710004
CA,ca3410017
CA,ca3410034/3410010
CA,ca1310002
CA,ca1510032
CA,ca37100071
CA,ca56100140/5610081
CA,ca5610019
CA,ca5610019 sd
CA,ca5610063
CA,ca3410004
CA,ca4210001
CA,ca5610024/ca5610014
CA,ca5610024
CA,ca0710003
CA,ca4110027
CA,ca3610036
CA,ca3410006
CA,ca0710001
CA,ca1210001
CA,ca3610014
CA,ca1610004
CA,ca3310037
CA,ca5710001
CA,ca5410002
CA,ca1910034
CA,ca1910038
CA,ca1210006
CA,ca1010018
CA,ca3010100
CA,ca1910073
CA,ca2010002
CA,ca0710006
CA,ca4310007
CA,ca5010013
CA,ca3610034
CA,ca5610007
CA,ca1010027
CA,ca3410020
CA,ca4110023
CA,ca1010029
CA,ca5610011
CA,ca 1510019
CA,ca7038
CA,ca 5010019
CA,ca5710006
CA,ca1910024
CA,ca1010003
CA,ca3310001
CA,ca3310048
CA,ca1310011
CA,ca3310007
CA,ca4110011
CA,ca1910062
CA,ca07-10008
CA,ca772
CA,ca1910028
CA,ca 4110024
CA,ca1310004
CA,ca1210004
CA,ca1010004
CA,ca3410023
CA,ca4110016
CA,ca1210009
CA,ca3010053
CA,ca1910051
CA,ca3310021
CA,ca 1910204
CA,"ca 1910203, ca 1910070, ca 1910027, ca 1910025, ca 1910005"
CA,ca3110004
CA,ca2710017
CA,ca3310051
CA,ca2910023 / lake wildwood
CA,ca2910006 / loma rica
CA,ca5010014
CA,ca1910105
CA,ca3710019
CA,ca0910002
CA,ca4910004/0028
CA,ca1910040
CA,ca-56-10023
CA,ca1510022
CA,ca5710003
CA,ca1910148
CA,ca810001
CA,ca0810001
CA,ca3610015
CA,ca1510003
CA,ca1510055
CA,ca4110006
CA,ca410002
CA,ca1910033
CA,ca1910036
CA,ca1910047
CA,ca1910134
CA,ca110003
CA,ca0110003
CA,ca4310001
CA,ca5810001
CA,ca4110007
CA,ca4110008
CA,ca410005
CA,ca0410005
CA,ca1910104
CA,ca2710010
CA,ca1010024
CA,ca4110009
CA,ca3910001
CA,ca5410016
CA,ca5610016
CA,"ca3010042, ca3010055"
CA,ca1910239
CA,ca4910006
CA,ca3010042
CA,ca4110013
CA,ca3610087
CA,ca0410011
CA,ca1510005
CA,ca0710007
CA,ca0710009
CA,ca110009
CA,cadsrsd
CA,ca3010068/3010093
CA,ca3010068/ca3010093
CA,ca3610064
CA,ca3310009 sro
CA,ca0910001
CA,ca0910018
CA,ca0910017
CA,ca3010079
CA,ca3410008
CA,ca4110021
CA,ca4810003
CA,ca4910002
CA,ca1910009
CA,ca1910092
CA,ca4210010
CA,ca2410004
CA,ca3600010
CA,ca3610118
CA,ca5510009
CA,ca4410013
CA,ca3410030/ca3410014
CA,ca3410030
CA,ca3410014
CA,ca3010069
CA,ca3710008
CA,ca1010007
CA,ca3710042 (water sys id)
CA,ca0510017
CA,ca0510004
CA,ca0510019
CA,ca0510005
CA,canewhall system - 1910096
CA,ca1910048
CA,ca1910017
CA,ca1910240
CA,ca0910013
CA,ca1910044
CA,ca1910155
CA,ca3010035 & 3010070
CA,ca3010022
CA,ca4310022
CA,ca 4310022
CA,ca2710008
CA,ca1610003
CA,ca110006
CA,ca4910005
CA,ca3710010
CA,ca3310016
CA,ca3510001
CA,ca1910049
CA,ca1510017
CA,ca3310020
CA,ca3010092
CA,ca3610025
CA,ca1010019
CA,ca1910204
CA,"ca1910203, ca191000, ca1910027, ca1910025"
CA,ca1910067
CA,ca1910063
CA,ca5810002
CA,ca1910211 - bellflower norwalk
CA,ca1910021- compton willowbrook
CA,ca1910161 lynwood - rancho dominguez
CA,ca3910004
CA,ca391004
CA,ca421006
CA,ca1910065
CA,ca2410005
CA,ca2610001
CA,ca1910083
CA,ca4110017
CA,ca2410009
CA,ca30100004
CA,ca-4110001
CA,ca-
CA,ca4110018
CA,ca4310005
CA,ca3310008
CA,ca2110002
CA,ca3010073
CA,ca 5010010
CA,ca4010011
CA,cafisherman
CA,ca3910027
CA,ca2810003
CA,ca40610003
CA,ca2910004 / e. george
CA,ca3010023
CA,ca3110026/ north auburn
CA,ca2910014/ lake of the pines
CA,ca581005/ smartsville
CA,ca5810005/ smartsville
CA,ca2110003
CA,ca3310025
CA,ca 3310025
CA,ca5610043
CA,ca1510015
